FH ID,Hotel Name,City,Address,Zipcode,Latitude,Longitude,Link,B.com ID
821111,VITS Select Noida,Noida,"Plot No: 3, Khasara No: C- 513, Sigma Tower, Sector-44, Noida - 201301",201301,28.5542723,77.33692204,https://www.booking.com/hotel/in/ayaan-inn-noida.ms.html,9648687
823515,Hotel Golden Sands Inn,Mumbai,"1 st Floor, Near Bharat Saw Mill, A G Link Road, Asalpha Village, Ghatkopar West, Mumbai - 400084",400084,19.09655,72.89462,https://www.booking.com/hotel/in/golden-sands-inn.en-gb.html?aid=356980&label=gog235jc-1DCAsobEIQZ29sZGVuLXNhbmRzLWlubkgzWANobIgBAZgBCbgBF8gBDNgBA-gBAYgCAagCA7gCgqatsgbAAgHSAiQzODQyZWYyMy0yODk5LTRlZjAtYjBlMS1jZmEwYjFlMTIyZTPYAgTgAgE&sid=27ae7f969edf31c75190dda2af0ab9fb&dist=0&group_children=0&keep_landing=1&sb_price_type=total&type=total&,11440990
802966,Seasons Suites - HBR,Bangalore,"721/H, 80 Feet Road, HBR Layout, Bangalore - 560043",560043,13.02737861,77.62476818,https://www.booking.com/hotel/in/seaons-suites-hbr.en-gb.html?aid=356980&label=gog235jc-1DCAsobEIRc2Vhb25zLXN1aXRlcy1oYnJIM1gDaGyIAQGYAQm4AQfIAQzYAQPoAQGIAgGoAgO4Ao-gh7EGwAIB0gIkYzA3MGJiOGYtNjFjYS00ZTcxLWFhOGQtNmM4OWM3NTE2Nzcy2AIE4AIB&sid=8f958d0909ca2fa62f5297d9c7919f64&dist=0&keep_landing=1&sb_price_type=total&type=total&,11123842
805294,THE VENUE by Seasons Suites,Bangalore,"Suradenapura, State Highway 9, Doddaballapur Main Rd, Yelahanka, Rajanukunte, Bangalore - 562157",562157,13.20894612,77.55878829,https://www.booking.com/hotel/in/the-venue-by-seasons-suites-bengaluru.en-gb.html?aid=356980&label=gog235jc-1DCAsobEIldGhlLXZlbnVlLWJ5LXNlYXNvbnMtc3VpdGVzLWJlbmdhbHVydUgzWANobIgBAZgBCbgBB8gBDNgBA-gBAYgCAagCA7gCiLSYsQbAAgHSAiRlYWM2ZGFiMy1hOTNkLTQyNDUtYTk1NC1jZjE2NmQwNmVlMWHYAgTgAgE&sid=8f958d0909ca2fa62f5297d9c7919f64&dist=0&keep_landing=1&sb_price_type=total&type=total&,10339267
818409,Collection O Hotel Sangia,Goa,"H No 22/63, Behind Police Out Post, Chalta No 15 Of Pt Sheet 186 Of City Survey Panaji, Near Dona Paula Circle, Dona Paula, Panaji, North Goa, Goa - 403004",403004,15.456163,73.80378,https://www.booking.com/hotel/in/collection-o-70331-sangia.en-gb.html,9287731
,Collection O Mt Rathong,Gangtok,"Kazi Road, above Mahatma Gandhi Marg, near Vishal Gaon, Vishal Gaon, Gangtok, Sikkim - 737101",737101,27.3270459,88.6128493,https://www.booking.com/hotel/in/oyo-37253-mt-rathong-gangtok123456.en-gb.html?aid=356980&label=gog235jc-1DCAsobEIib3lvLTM3MjUzLW10LXJhdGhvbmctZ2FuZ3RvazEyMzQ1NkgzWANobIgBAZgBCbgBF8gBDNgBA-gBAYgCAagCA7gCn9_AsgbAAgHSAiQ3YTk5NjM3ZC01YTViLTQyZDMtODFjYy05MTE4MjIzZDNiNTPYAgTgAgE&sid=40b6a28c9dd78a00d9ccb7e9dd194fd7&dist=0&group_adults=2&keep_landing=1&sb_price_type=total&type=total&,4955164
,Flagship Cruze Residency,Coimbatore,"64 Ramanuja Nagar, Uppilipalayam, Post, Near Hope College, Coimbatore, Tamil Nadu - 641014",641014,11.01993828,77.02532217,https://www.booking.com/hotel/in/oyo-flagship-70377-cruze-residency.en-gb.html?label=gen173nr-1BCAsobEIib3lvLWZsYWdzaGlwLTcwMzc3LWNydXplLXJlc2lkZW5jeUgzWARobIgBAZgBCbgBGMgBDNgBAegBAYgCAagCBLgCrePAsgbAAgHSAiRjMDU3MWVlZi00NDQ5LTRjMDMtODk1Zi1mZjcxODAyOGI0ZjLYAgXgAgE&sid=eadcb6226c2a10a8f5bc622e2fb2bd00&dist=0&group_adults=2&group_children=0&keep_landing=1&no_rooms=1&sb_price_type=total&type=total&,9269429
,Hotel Exotic Inn,Ahmedabad,"4th Floor, Anar Complex, Beside Avron Hospital, Near Darpan Circle, Naranpura, Ahmedabad - 380013",380013,23.04800622,72.55707278,https://www.booking.com/hotel/in/collection-o-exotic-inn.en-gb.html?label=gen173nr-1BCAsobEIXY29sbGVjdGlvbi1vLWV4b3RpYy1pbm5IM1gEaGyIAQGYAQm4ARjIAQzYAQHoAQGIAgGoAgS4AojkwLIGwAIB0gIkYTgyYmFmYzMtNmJjMS00ZTc5LWJlNDktZDM4MGVjY2Q2ZTc32AIF4AIB&sid=eadcb6226c2a10a8f5bc622e2fb2bd00&dist=0&group_adults=2&group_children=0&keep_landing=1&no_rooms=1&sb_price_type=total&type=total&activeTab=photosGallery,11262904
820074,Itsy By Treebo - New Shraddha Inn,Nagpur,"Plot No.195, Prabhu Nagar (New Manish Nagar) (Municipal Corporation) (Urban), Nagpur - 440015",440015,21.087519,79.068192,https://www.booking.com/hotel/in/treebo-trip-new-shraddha-inn.en-gb.html?aid=318615&label=English_India_EN_IN_28546570345-eYW540EsJbOacWZK6kIFyASM634117832355%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atiaud-297601666555%3Adsa-209717190505%3Alp9302629%3Ali%3Adem%3Adm%3Aag28546570345%3Acmp339861625&sid=eadcb6226c2a10a8f5bc622e2fb2bd00&dest_id=-2105396&dest_type=city&dist=0&group_adults=2&group_children=0&hapos=1&hpos=1&no_rooms=1&req_adults=2&req_children=0&room1=A%2CA&sb_price_type=total&sr_order=popularity&srepoch=1716531984&srpvid=15fb2cfecd120164&type=total&ucfs=1&activeTab=photosGallery,8968469
820744,OYO Hotel The Regal Inn,Nashik,"Suvidya Society, Plot no. 08, Pathardi Road, in front of State Bank, Prashant Nagar, Pathardi Phata, Nashik, Maharashtra - 422010",422010,19.983313,73.7357398,https://www.booking.com/hotel/in/the-regal-inn-nashik.en-gb.html,11012078
